,Unnamed: 0,Username,Location,Date Created,Tweet
19,19,Dropping_Facts,CA,2012-08-31 16:08:29,"#BlackTwitter #blacklivesmatter #KarenStrikesAgain #KarenOfTheYear 

Torrance, California... 

In the early running… https://t.co/XdrfD46sxp"
20,20,RedMonarch12177,"Manchester, NH",2015-02-28 22:16:36,"Seriously, can we let all the minor drug offenders &amp; tax evaders out of prison &amp; just start locking up the racist K… https://t.co/WLWpQdAS9f"
21,21,we2lit_tv,"Detroit, MI",2019-07-26 18:10:48,"#Karen strikes again #snowflakes
#racist
#KarenStrikesAgain
#SOCALLEDMINORITY
#SocialDistancing #Socal https://t.co/ZBJOVYB8oA"
22,22,NoahBuch2019,"Sacramento, CA",2011-09-20 06:16:02,Goddammit Karen this is a truly racist one we have here!! #KarenStrikesAgain https://t.co/LzIBSAAk1Y
23,23,ro_texeira825,"Miami, FL",2017-06-23 14:04:53,One last thing @jessicamulroney deleted her Insta post praising Little Rock 9 after she was exposed as a racist! Ni… https://t.co/hWFYOKGm1D
24,24,Kamui29685982,,2020-03-26 18:29:12,"School teacher apologizes for threatening to kill mom, child at protest https://t.co/8pWIdFTvXl via @nypost #Karen… https://t.co/RKMaHWlhro"
25,25,terracloudd,everywhere,2016-03-05 11:54:42,"@nypost Another KKKaren strikes again  She's probably one of Trump zealot #KarenStrikesAgain,"
26,26,momstheruler,NY,2011-06-15 19:55:38,I think we should do contact tracing on Karen’s. #karensinthewild #karensgonewild #KarenStrikesAgain #Karendemic
27,27,suzybell37,,2009-12-06 20:00:33,@nbcsandiego Another Karen (ugh) and she drinks too much! #KarenStrikesAgain  the security guard showed a lot of pa… https://t.co/rt0MrDw9PE
28,28,owensbfrederick,,2013-03-15 22:32:43,@gotfocus The sad part about it! One day? That is exactly what’s going to happen! Just stressing for nothing! #KarenStrikesAgain
29,29,MrBlakeWrites1,"Washington, DC",2016-05-10 16:38:34,"Geez....Karen is losing her shit across the country. Can't deal with loss of supremacy 

#Karen #KarenStrikesAgain… https://t.co/jPxHkwY6Nh"
30,30,TweetHeroDre,"California, USA",2017-12-01 06:21:47,@secupp Just another day in #AmeriKKKa.  #Karendemic #KarenStrikesAgain #TrumpFueledThis
31,31,john62449514,USA,2020-05-06 15:28:48,🤣🤣🤣 I just can’t enough of that scream at the end. #karenscreams #karenmeltdown #FunniestTweets #KarenStrikesAgain… https://t.co/VrOiJqnOIx
32,32,john62449514,USA,2020-05-06 15:28:48,Thanks again @realDonaldTrump your an inspiration to all Karen’s #Karens  #KarenStrikesAgain https://t.co/x5YGFv7uP2
33,33,john62449514,USA,2020-05-06 15:28:48,Karen meltdowns! Thanks @realDonaldTrump for inspiring all these Karen’s to come out. #karens #KarenStrikesAgain… https://t.co/Gae9BUI50h
34,34,iamcierajohnson,"Powder Springs, GA",2012-07-31 22:19:17,Wowwww! They found her! Good I hope this time they put her ass in jail! #KarenStrikesAgain #KarenGoneWild https://t.co/qq4LDBflNZ
35,35,roc_kell06,"Dallas, TX",2011-03-18 16:11:21,Karen’s are all built like a tea bag. I’m convinced. #KarenStrikesAgain https://t.co/GKOA8CgIVt
36,36,ava3366,"Sunrise, FL",2012-10-06 02:56:17,Omg lol fuck her up #fuckingkaren #KarenStrikesAgain #karensgonewild #karensindahouse #karensgonecrazy https://t.co/AM5wNx1K3O
37,37,Quest2017,United States,2009-07-07 13:20:31,Second-grade elementary school teacher 'threatening to kill a mother and her eight-year-old daughter' who were peac… https://t.co/3fqXIRN0o3
38,38,kaitlynngoalden,,2011-07-13 05:48:49,"You can have a budget all you want Karen, but ain’t no one showin up

@Apple ya probably want to change the opening… https://t.co/lCRH3O7qpS"
39,39,Aly_Dar8,"Washington, D.C.",2019-10-21 09:31:54,"The Karens are out of control. 
#KarenStrikesAgain #KarensGoneWild https://t.co/w4ywbjeSPv"
40,40,Frost8Woods,The Interwebs,2016-01-13 02:24:46,@pamnapo @mynamegangg @Popehat Well just look at her. I’d be mad too. #KarenStrikesAgain
41,41,LeftKisses,"Sydney, New South Wales",2016-07-20 05:55:55,@mynamegangg Not even allowed to WEAR black now! That’s next level. #KarenStrikesAgain #TrumpsAmeriKKKa
42,42,newsone,"New York, NY",2008-12-17 19:50:30,"Karens just can't control themselves, can they?

From spitting on protesters to calling police out of fear of Black… https://t.co/F3qtlDewj6"
43,43,iamcierajohnson,"Powder Springs, GA",2012-07-31 22:19:17,Uh uh #KarenStrikesAgain https://t.co/EZSNMlHUcJ
44,44,Gsoul_608,,2014-10-01 21:02:14,"Katen got slapped into the middle of next week, after grabbing another woman who had all the smoke.  #Karens… https://t.co/JkhEs6jiZZ"
45,45,ChepieNVLV,,2009-12-25 23:13:59,"#KarenGoneWild  #Karen not only refuse to wear mask , they are #racist too! #KarenStrikesAgain https://t.co/RTUOZG0ETr"
46,46,coykitten2,,2020-06-11 08:18:06,The Karens of the world would truly be hilarious if their mindsets weren't getting people killed. #KarenStrikesAgain https://t.co/cjrEp3IfIl
47,47,ROBJBY,,2009-04-08 08:08:20,@tammyacctg @chelseahandler We have another Karen here Twitter!  #KarenStrikesAgain
48,48,Toccinetto,,2020-01-07 13:56:35,🛑 Don’t Look Away 🛑 #Karen Another ignorant racist.   #KarenStrikesAgain https://t.co/1F6EmiEai6
49,49,ir2409,"Bruxelles, Belgique",2015-03-23 23:51:33,Who is Karen ? https://t.co/NiLxYc57md #WhoIsKaren #Karen #KarenStrikesAgain #karensgonewild #KarenOfTheYear #KarensForBLM #Karens
50,50,vita_ironia,"Norfolk, UK",2013-05-21 12:52:59,God damn 😳 #KarenStrikesAgain https://t.co/4hBz95bjNY
51,51,2ndTimothyThree,,2009-04-11 15:04:11,@DonaldJTrumpJr @charliekirk11 This #Plandemic has given birth to culture of stalkers with nothing else to do than… https://t.co/4jQZt54kjv
52,52,Ajones32,"Charlotte, NC",2008-11-18 19:47:44,#KarenStrikesAgain but this time she and her friend get sprayed  https://t.co/559Iy2olVb
53,53,liberalpanda,Nashville,2011-07-29 01:53:08,"I am seeing Trump supporters whining about the state of America right now, and likening the country to Orwell’s 198… https://t.co/LBVjK0AM4m"
54,54,Ajones32,"Charlotte, NC",2008-11-18 19:47:44,"Dang, it’s a busy #Karen morning. Here’s a #Florida #Karen upset that a lone protester might attract “the wrong ppl… https://t.co/z5RjSI9fcU"
55,55,KarenStrikes,,2020-06-04 11:55:33,‘Go back to whatever fucking Asian country you belong in’ deranged racist Karen going wild in the park… https://t.co/AocwhXHmck
56,56,Ajones32,"Charlotte, NC",2008-11-18 19:47:44,@walmart #KarenStrikesAgain this time she traumatizes 2 different ppl with 1 engagement @karensgonewild_ #BLM full… https://t.co/xOzDNmWQpO
57,57,FuckoffKaren1,White Male Privilege land! ,2020-05-22 08:53:54,This Karen is a character actor. Here she is portraying a rampant hippopotamus!! just joking she is is like all Kar… https://t.co/bLgg6ijbJP
58,58,krizzypowell,Everywhere,2012-01-26 07:17:11,More of this accountability... we got time today. #KarenStrikesAgain https://t.co/5I6fE6jPzP https://t.co/7mshpqlTZf
59,59,Neferast,Chicago,2009-02-02 20:02:15,These #Karens #KarenStrikesAgain need some benzos or some #WEED. They are out of control.  Sorry y'all who have to… https://t.co/OswsHhxxUw
60,60,PausTravel,,2016-09-18 23:06:54,Omg they did not.. 😂😂 This Tokyo sushi joint has NO chill #KarenStrikesAgain #KarenGoneWild https://t.co/YEjQAtz188
61,61,crazykarens,,2020-06-06 21:55:18,Point of View: You just died and walked into hell and are greeted by all of the Karens you’ve seen online during yo… https://t.co/ChlamOXdxk
62,62,Torilv13,"Las Vegas, NV",2011-11-01 21:04:22,@KarenStrikes A warning to all #karens &amp; chads if you see me &amp; this car in #LasVegas steer clear. Before you think… https://t.co/n3QfoSpQR5
63,63,Ajones32,"Charlotte, NC",2008-11-18 19:47:44,Every morning we get a new #Karen! So it’s time for #KarenStrikesAgain brought to you by @karensgonewild_ she picke… https://t.co/JNl3ghvnTN
64,64,DeeDavisX,,2010-11-23 19:03:29,Smh... somebody come get your grandma! 😂😂  #KarenStrikesAgain https://t.co/P87aLNbduV
65,65,FroggyBottomPnd,Horse Country 🐴 Virginia,2009-04-09 04:14:32,"Pool guard Karen...
#KarenStrikesAgain https://t.co/zpzs4Jl4vY"
66,66,Docket75,,2013-10-18 16:33:49,Welcome to #Trump’s America. #KarenStrikesAgain https://t.co/Qp4zirP2Cq
67,67,barraza0,,2011-08-30 01:36:36,Imagine being so bored and morally miserable that you try to tear down a person's life work just because you disagr… https://t.co/RBcWcs3edw
68,68,brotherjwee,"Bridgeton, NJ",2019-07-26 02:06:04,Brothers &amp; Sisters #KarenStrikesAgain &amp; drove to the police station to try to file a complaint. She can't even get… https://t.co/kE1yOd5Aut
69,69,owjono1,United States,2017-07-21 02:32:26,@morningmika Good Morning #KarenStrikesAgain
70,70,BobKarpDR,"Raleigh, NC",2012-05-01 17:32:57,"After being disgusted by the latest rantings of an old racist white person (Wilson Park, Torrance, CA.) I've decide… https://t.co/uB5MZvZ4gv"
71,71,IcuNoItAll,"New York, USA",2012-07-20 19:48:22,@NY_runaway @DeniseDM5 Ok T’witter detectives get her (another #Karen ) identified and sent on the #AmyCooper road… https://t.co/Ll2CRuKzwd
72,72,GoinToCanada,"New Jersey, USA",2015-05-05 02:48:27,"#JkRowlingIsOverParty #KarenStrikesAgain 
JK Rowling responds to critics over her transgender comments https://t.co/18ebqDuSwP"
73,73,JjCox40,United States,2012-01-28 01:10:53,"Wow, #KarenStrikesAgain, Karen is really losing it! https://t.co/ji9kUbovAP"
74,74,BeeGalini,Hell,2017-05-16 03:10:25,"@mynamegangg So now just ""wearing"" black offends #KarenStrikesAgain ?"
75,75,LarryDRaglandJr,,2019-12-14 18:08:42,Let's expose another #Karen! #KarenStrikesAgain 🙄 https://t.co/3dkwMhmRF5 https://t.co/3HhsTvTrF4
76,76,OrangeShitgibb1,Interwebs,2020-05-28 02:20:54,"Wow. I'm not a violent person and I would never hit an old lady, even an insane racist bitch like this one. But I w… https://t.co/OZnucLOgik"
77,77,namesgretta,,2020-03-27 17:51:00,@rach1174 @ashnikko WOW I THINK WE’RE ON TO SOMETHING GUYS WAIT #KarenStrikesAgain
78,78,SilentAlonzo,Sovereign Territory ,2009-09-16 17:22:48,"Racist Woman Slapped By Native American 
https://t.co/lqe8PNRlcF
#BlackLivesMatter #LatinosForTrump… https://t.co/jRfE4tf9B3"
79,79,SWOREFitness,"Hebron, NE",2015-09-03 02:00:01,Spur much? Wow #KarenStrikesAgain 🤦🏻‍♀️ https://t.co/oxidFZaLCw
80,80,JustSaying1600,New York,2016-11-09 12:09:23,"@mammaTam55 @Jwheels_74 Ultimately, she was fired from her job. #KarenStrikesAgain #Karma #BlackLivesMatter"
81,81,GreggeryVotes,"Nevada, USA",2018-12-12 04:17:38,Signs You're a #Karen | Real Time with Bill Maher (HBO) https://t.co/RhLqQsMXVY via @YouTube #KarenStrikesAgain… https://t.co/tcHtPvOfum
82,82,CrystalHess,United States,2008-04-15 20:10:29,"@RealSaleemJuma The next time I go to the city, I’m just wearing a body cam to video stupidity! #KarenStrikesAgain"
83,83,RealSaleemJuma,"Bellevue, WA",2019-03-31 07:42:55,"Oh great we have another #Karen on our hands folks 🤦

#KarenStrikesAgain #karensgonewild https://t.co/RTj1qdXw1c"
84,84,LAmaleCA,└A MALE,2009-12-31 21:43:11,"DEAR AMERICA
IF you are having a Child, may I suggest you do not name them #Karen #Becky #Patty #KarenStrikesAgain… https://t.co/6YhJq6Egjq"
85,85,onefortyfour12,"Babylon, USA",2009-10-06 22:42:35,#KarenStrikesAgain curses at Asian lady in California park. https://t.co/I6tbe0kAbT
86,86,justanurse9,"Richmond, VA",2020-03-28 17:40:09,Racist #Karenstrikesagain smdh https://t.co/pwS674zlQl
87,87,RaiderJuan,"iPhone: 34.123806,-118.220299",2009-05-25 18:10:44,Karen’s had a big day throughout the country. They are growing in anger and popularity 🤦🏼‍♂️😂🤷🏼‍♂️.  #KarenStrikesAgain #Karens
88,88,Karensgottalent,In Your Business,2020-06-04 22:38:00,"Karen shits herself every time this dude steps forward, but she still playfully comes back for more every time. Bri… https://t.co/B9vfXM80f6"
89,89,kaybee29613181,,2020-04-01 22:27:02,@ziaislam @ABC7 What is she even saying. Who cares what clothes she wears! Black clothes are a problem too? I thoug… https://t.co/QBJWWBCje9
90,90,MissME410,SF Bay Area,2011-04-26 10:41:14,"I’m so sorry your friend had to deal with this, I’m never going to understand these racists thought process BUT lov… https://t.co/31dlq0ebRi"
91,91,ModahMst,In my own little world! 😁,2010-03-12 23:27:12,Absolutely disgusting!! 😡 #EndRacismNow #KarenStrikesAgain #BlackLivesMatter https://t.co/Sl1FYIPVRQ
92,92,IndictPOTUS45,"#RemoveTrump, USA",2010-06-19 20:46:52,"#BREAKING NOW!

#Torrance and the hometown of director #QuentinTarantino were trending today. #KarenStrikesAgain #karensgonewild"
93,93,syamean,KL,2009-09-28 15:37:47,Sometimes we can see Karen or Kevin in Malaysia's SosMed or Netizen. One of them are those who expose others and ma… https://t.co/gE4OLZsqFU
94,94,docinloubies,"New York, NY",2013-03-25 02:14:05,@stassi  campaigning with her mom to be put back on Bravo is the most desperate shit I’ve seen all year. #KarenStrikesAgain
95,95,Karensgottalent,In Your Business,2020-06-04 22:38:00,"This Karen does the simple things well! finger pointing, shouting, walking away and then coming back. Rounded off w… https://t.co/t6Icd0OFTY"
96,96,mr_ottermatic,"Portland, Oregon",2019-12-03 16:53:08,Uh oh looks like we have a Karen causing Torrance terror! Of course she threatens using her family as a weapon! 😮🙄… https://t.co/NByPyYfvrB
97,97,TheReckless_Fox,"California, USA",2015-04-26 07:25:39,"Tonight, We dine on the tears of #Karen
https://t.co/CCVPInxwzG
#KarenStrikesAgain #karensgonewild #podcast… https://t.co/FOa8QGqOdr"
98,98,LiannaLiew,"Los Angeles, CA",2011-03-26 22:51:41,"This has really upset me. WTF?? 

Also, what kind of old hag tells someone they’re gonna “f**k you up”?? I thought… https://t.co/7UySUciCbz"
99,99,kristindenehy,Los Angeles,2009-01-10 05:28:43,@RexChapman #KarenStrikesAgain Karen. I really hope I can be in the presence of this one day to… https://t.co/2PsNN34Uzj
100,100,Lalajay73,,2018-01-21 04:48:40,"Another day, another #Karen. #KarenStrikesAgain #RacistKaren #protest #SetItOff #ICantBreathe #SanDiego https://t.co/KTP2uudITP"
101,101,kaimatters,,2009-02-11 00:42:13,Why are these Karen’s (including Boy Karen’s) so insistent on getting popped?#KarenStrikesAgain #WhitePrivilege https://t.co/Gu362hF4uH
102,102,Ahhhh_Snapperz,"Los Angeles, CA",2018-04-11 21:26:25,"Trash.... Internet do your thing...

#KarenStrikesAgain #fireher #racistexposed https://t.co/Qte0VQ7lar"
103,103,solomongrundy6,EARTH,2012-05-04 00:06:14,Karens Have Gone Too Far ! https://t.co/TAWxtlhd9K via @YouTube Explain the #KarenStrikesAgain
104,104,cyphill71,"California, USA",2013-09-15 06:06:34,"@mynamegangg Wow, I’m looking at some of these comments.  It’s almost comical how some people twist themselves into… https://t.co/kcQ0IqaMLk"
105,105,LaciLou77,Hell's Kitchen ,2016-02-29 00:10:58,"I have no words. #KarenGoneWild #KarenStrikesAgain #Karendemic 
#ItsAParkKarenTheresRoomForTwo https://t.co/ZjTpmwo596"
106,106,SageMD1908,,2009-04-05 03:23:19,I just...😐 wow #KarenStrikesAgain https://t.co/y1dcv8CL1b
107,107,syds180turn,California,2010-10-08 20:47:45,My goodness we have ourselves an old Karen spewing her racist bile. Where do these people come from!… https://t.co/W2l4Hw69a2
108,108,gaylicgoddess,"Seattle, WA",2020-03-28 19:39:40,GUYS GUYS. IM AIDING AND ABETTING COMMUNISTS??! Holy crap! How awful! 😂 At least they aren’t fascists 🙃🤗 Is it 1950… https://t.co/5Rt8wjcRvM
109,109,Readnknitndrink,,2015-10-21 18:57:17,"I live in Torrance...Twitter do your thing. 
#KarenOfTheYear
#KarenStrikesAgain https://t.co/A1Ab7DlQon"
110,110,MaddieSonidera,"Chicago, IL",2018-12-05 15:55:02,Baby girl did not come too play games 😂😂😂 y’all been at this for too long and now y’all looking like 🤡🤡🤡… https://t.co/I8sCYUwYME
111,111,MicrophoneJones,"Trenton, NJ",2009-04-17 15:30:52,"@mynamegangg To hell with age, expose this #Karen too. Mainly, because she argues stupidly. If Patti Labelle had to… https://t.co/SuR2FnbP4U"
112,112,MicrophoneJones,"Trenton, NJ",2009-04-17 15:30:52,"@RexChapman @learninlife To hell with age, expose this #Karen too. Mainly, because she argues stupidly. If Patti La… https://t.co/3Sdb5cWkly"
113,113,Stefanie_Cruz,"Sacramento, CA",2011-08-25 13:36:21,Strong contender. #KarenStrikesAgain https://t.co/ugMbQNUpBx
114,114,IndictPOTUS45,"#RemoveTrump, USA",2010-06-19 20:46:52,"#BREAKING!
WOW! #KarenStrikesAgain SHUT UP! 

This @realDonaldTrump Racism will end in 146 days. #BreakingNews 

Vo… https://t.co/umC2swCxTT"
115,115,lookatmyeyeball,"Richmond, VA",2016-10-23 00:35:46,"Twitter, find the Karen!  

Torrance, CA

#findthekaren
#KOY 
#KarenStrikesAgain 
#torrance 
#YouAboutToLoseYoJob… https://t.co/mXfuuFiU7x"
116,116,IndictPOTUS45,"#RemoveTrump, USA",2010-06-19 20:46:52,"#BREAKING 
#KarenStrikesAgain

This is how Americans know @realDonaldTrump's lost re-election.
😡 Whites… https://t.co/ncUj9GP2xj"
117,117,bewitched_fan,Toronto,2017-05-03 21:59:59,"New one (for me)

#KarenStrikesAgain https://t.co/NTTBqt3xaQ"
118,118,lynettebledsoe1,"San Antonio, Texas",2009-11-10 18:53:08,This is getting crazy #KarenStrikesAgain https://t.co/RadolTNch2
119,119,IndictPOTUS45,"#RemoveTrump, USA",2010-06-19 20:46:52,"#BREAKING!

#KarenStrikesAgain

This happened to a friend of my cousin this morning in #Torrance, CA at Wilson Park… https://t.co/DaQxDnGo8d"
120,120,Bunkality,theUniverse ,2014-08-24 17:43:50,"Karen didn’t get her coffee at @dunkindonuts  What is his name, he is getting reported.    #KarenStrikesAgain… https://t.co/3uDcuQ5Y89"
121,121,CaliClover,So. Cal ,2009-11-08 19:53:44,@FINALLEVEL Shut up you vicious fishwife. #KarenStrikesAgain
122,122,Baseballgirlnj,A Jersey girl in So Cal,2009-03-23 00:55:40,@RexChapman Somebody has been in quarantine for too long. (and not getting any during that time.) Hope someone can… https://t.co/HrLlDflLw5
123,123,HenriBreboeuf,"Ottawa, Ontario",2017-05-18 02:11:20,"Geez Louise, so many Karens...🙄 #KarenStrikesAgain https://t.co/mNqXszAvPG"
124,124,RbgSuperhero,"Hermosa Beach, CA",2010-01-09 21:51:12,I'm beginning to think that white women with no power in their own homes are coming out in droves to express the on… https://t.co/5QU2FbLsQ3
125,125,MCHLDNNA,California,2010-01-17 19:27:33,Do your thing internet. #karensgonewild #KarenStrikesAgain #Torrance #racist https://t.co/LpTxZRo9jF
126,126,coleyhiles1,Tempe AZ,2012-09-12 17:31:07,"I mean, I wear black in Arizona sun about every damn day. Pretty sure it's hotter here, just sayin… https://t.co/lrd36ltkTt"
127,127,WandaBarajas,"Orlando, Florida",2010-07-19 05:00:26,Oh snap I wear black every single day! Yikes! All my running clothing is black AND I’m in the sun in California!… https://t.co/EOOlA9Eur7
128,128,claireortiz,Los Angeles,2009-06-25 11:06:17,I wish Karen would run up on me like that...it wouldn’t go quite this well for her. #KarenStrikesAgain… https://t.co/uy8iMluqCf
129,129,wimberly_liz,,2012-12-04 06:40:19,Someone needs to come pick up their racist granny from the park #KarenStrikesAgain #Karen #karensgonewild https://t.co/JcoTiWs6x7
130,130,KymberliSmith,Somewhere in another realm.,2009-04-07 02:13:39,"From the White Lives Matter FB Page!!!!
@balleralert @TheShadeRoomm @Bossip @MediaTake_Out @WORLDSTAR… https://t.co/qD0qqq65Gq"
131,131,19009099900com,,2020-04-28 10:37:55,@itsBayleyWWE would like to speak to her manager... #WWERaw #bayley #karen #KarenStrikesAgain https://t.co/iitcpff0Ve
132,132,sophieradvan,"Portland, OR",2014-02-12 19:14:42,“Whatever-forever” is the name of my game…until a real piece-of-work SEE YOU NEXT TUESDAY comes along. That's when… https://t.co/hHI2eBMdVd
133,133,Nikki_SoNatural,,2012-09-14 18:55:48,#KarenStrikesAgain  #whiteprivelege is a bitch ain't it? She truly feels obligated. https://t.co/Z0yPduIkBT
134,134,lumps7166,,2020-05-07 23:37:47,"Ugh, this is becoming too common and so very annoying 🤦🏽‍♀️ #KarenStrikesAgain https://t.co/hh51w12o24"
135,135,AncestorsAlive,"New York, USA",2012-05-22 11:56:25,@richardmarx You know she should have been driving to a therapist if she wanted to have someone listen to her cry a… https://t.co/gR1YXtDael
136,136,Nikki_SoNatural,,2012-09-14 18:55:48,Another fucking #KarenStrikesAgain https://t.co/BoK4lsiQAm
137,137,4footballfields,"New York, USA",2017-10-12 06:52:41,@JohnCleese I didn't realize Karens were a global phenomena 😩 British #Karen #KarenStrikesAgain #KarenGoneWild
138,138,ALynnGrossman,,2012-04-15 03:54:01,@RexChapman Someone send #KarenStrikesAgain back to nursery school to learn how to say please.
139,139,Iota_Cephei,"Atlanta, GA",2019-04-24 15:04:17,"Other nominees for #KOY #KarenStrikesAgain ...
These facts involve someone I know...let’s call them X and their bos… https://t.co/hLCCBJwthY"
140,140,Haitiana4Obama,AmeriKKKa,2009-02-25 17:49:13,@ABC7 Karen-ism is becoming a serious pandemic and we need to remain vigilant on these racist entitled White women.… https://t.co/B74curKyfJ
141,141,nisacool27,,2012-05-04 04:05:29,"@RexChapman Why can’t Karen ever be mad about the right thing. Btw, I can’t believe people talk like this to strang… https://t.co/be1s0vRJOA"
142,142,beat2394,,2009-04-21 06:44:20,"Has “Karen” as a verb been added to @Dictionarycom and @MerriamWebster ? It needs pronunciation, conjugations, word… https://t.co/O42fFJAyx5"
143,143,mark1311d,,2010-11-13 19:13:26,UPDATE: I told Kerry to leave and of course she put up a fight calling me a plethora of other offensive phrases. No… https://t.co/Mik7O1skiG
144,144,KarenStrikes,,2020-06-04 11:55:33,"‘Go back to your own country’ 🤦🏼

#KarenStrikesAgain #KarenGoneWild #karen #Karens #karensgonnakaren #BLM… https://t.co/YLXx2gnVCs"
145,145,407Firefly,"Florida, USA",2018-02-12 22:55:56,"@RetiredMaybe Obviously your isn't very important to you Karen
#racist #KarenStrikesAgain #EndRacism #dummy"
146,146,Cyndi_757VA,USA,2014-08-25 03:59:52,This is why I carry a gun. You never know when your safety or life is in danger when a suspected white supremacist… https://t.co/FDcH5MOh4u
147,147,lea_lea0925,"Camarillo, CA",2012-09-30 17:37:14,You’re gonna get your ass kicked by my family 🤣🤣 #karen #karensgonewild #KarenStrikesAgain https://t.co/NWecugzsIg
148,148,407Firefly,"Florida, USA",2018-02-12 22:55:56,Oohhhh she's gonna have fun in jail... And this is the problem she was not arrested once BUT TWICE IN THE SAME DAY… https://t.co/WulA3iJ8eM
149,149,tageorge,"New York, NY",2009-02-11 18:02:34,She seems nice. Also who the fuck uses Facebook? #KarenStrikesAgain https://t.co/8AepNsigiH
150,150,Kamui29685982,,2020-03-26 18:29:12,@RexChapman Trump minion #KarenStrikesAgain #AmyCooper #Karens
151,151,JakeSerafini,"Carpentersville, IL",2013-12-20 20:22:58,"I’d feel better if Soros paid actors to make these. Sadly, they’re real #KarenStrikesAgain https://t.co/sABgoQK7Vs"
152,152,skcornett,DFW,2011-01-02 15:46:22,This is total and complete bullshit. WTAF is wrong with people that they think this is okay? #KarenGoneWild… https://t.co/DfNSRdHvHm
153,153,Xpressionable,,2012-03-21 12:58:16,"#KarenStrikesAgain
Here we go!! Disrespecting #BlackPeople &amp; #BlackLivesMatter #BlackLivesMattters 
#KarenGoneWild… https://t.co/IiNQhxa9r6"
154,154,mark1311d,,2010-11-13 19:13:26,#KarenStrikesAgain today. She came to the place I work. She refused to wear a mask and degraded me and my staff. Sh… https://t.co/9pLaypBO3x
155,155,SimplyBH,The DMV,2009-05-01 15:44:56,Never should have looked at the #KarenStrikesAgain hashtag. Got me in here tight 😡🤬
156,156,jcarroll5231,"Washington, USA",2010-09-08 21:49:08,@RexChapman Jesus christ. I was hoping we'd see her drop from a coronary. WTF is wrong with people?? #Karen #KarenStrikesAgain
